No,Sanatçı,Albüm,Şarkı Adı,Şarkı Sözleri,YouTube
11,Şebnem Ferah,Artık Kısa Cümleler Kuruyorum,Oyunlar,"""Oyunlar""

Yüreksiz gözlerin olduğu bu yerde
Herkes gibi benim de yerim var
Yüzümden gitmeyen acı gülüşte
Hiç sönmeyen yangınların izi var

Yıktım duvarları, yaramı sardım
Yalnızca bildiğim bir şarkı var
Ne iz ne söz, eski bir şey
Kalmasın ardımda

İsmi bilinmez bir yerlere yolcuyum
Dikensiz gül olmaktansa kardelen olurum
Bizler büyürken durmaz, büyür oyunlar
Bütün oyunlarda herkes kadar benim de payım var, oh

Yıktım duvarları, yaramı sardım
Yalnızca bildiğim bir şarkı var
Ne iz ne söz, eski bir şey
Kalmasın ardımda

İsmi bilinmez bir yerlere yolcuyum
Dikensiz gül olmaktansa kardelen olurum
Bizler büyürken durmaz, büyür oyunlar
Bütün oyunlarda herkes kadar benim de payım var

Yüreksiz gözlerin olduğu bu yerde
Herkes gibi benim de yerim var
Yüzümden gitmeyen acı gülüşte
Hiç sönmeyen yangınların izi var

İsmi bilinmez bir yerlere yolcuyum
Dikensiz gül olmaktansa kardelen olurum
Bizler büyürken durmaz, büyür oyunlar
Bütün oyunlarda herkes kadar benim de payım var

İsmi bilinmez bir yerlere yolcuyum
Dikensiz gül olmaktansa kardelen olurum
Bizler büyürken durmaz, büyür oyunlar
Bütün oyunlarda herkes kadar benim de payım var, oh",5OPp9wUvgw8
12,Şebnem Ferah,Artık Kısa Cümleler Kuruyorum,Ay,"""Ay""

Ay ışığına vuruldum ben
Çok uzaklarda olsa da
Sonumuzu bile bile seviştim ben
Artık gece hiç olmasa da

Ay ışığına vuruldum ben
Başka dünyaya yansa da
Çok zor geçen günün ardından uyurken ben
Odam hep ışıksız kalmışsa da

Bu ev artık yuva değil
Bütün eşyalar üst üste
Terketmeden önce

Ay ışığına vuruldum ben
Başka dünyaya yansa da
Çok zor geçen günün ardından uyurken ben
Odam hep ışıksız kalmışsa da

Bu ev artık yuva değil
Bütün eşyalar üst üste
Terketmeden önce, oh",9TV6dxyd7wA
13,Şebnem Ferah,Artık Kısa Cümleler Kuruyorum,Bugün,"""Bugün""

Bugün resmine dokundum ben, öptüm yine, yine
Zaman, ağır ol, henüz erken, demek için ""Güle güle""
Sesini özledim, özledim çok
Haberim yok, durmuş dünya, niye?
Seninle birlikte kaybolanları arıyorum başka şeylerde
Aşk şarkısı değil bu, geldi içimden
Gülümse bir kez benim için, eğer duyuyorsan

Nehrim ol, gel, ak yine
Kelebek ol, gel, uç yine
Çiçeğim ol, gel, aç yine
Rüzgâr ol

Nehrim ol, gel, ak yine
Kelebek ol, gel, uç yine
Çiçeğim ol, gel, aç yine
Rüzgâr ol, oh, mmh

Uh-ah

Bugün resmine dokundum ben, öptüm yine, yine
Zaman, ağır ol, henüz erken (Henüz erken), demek için ""Güle güle""
Sesini özledim, özledim çok
Haberim yok, durmuş dünya, niye?
Seninle birlikte kaybolanları arıyorum başka şeylerde
Aşk şarkısı değil bu, geldi içimden
Gülümse bir kez benim için, eğer duyuyorsan

Nehrim ol, gel, ak yine
Kelebek ol, gel, uç yine
Çiçeğim ol, gel, aç yine
Rüzgâr ol

Nehrim ol, gel, ak yine
Kelebek ol, gel, uç yine
Çiçeğim ol, gel, aç yine
Rüzgâr ol, oh, mmh

Uh-ah, mmh-mmh-mmh-mmh",WJ4MNKotScw
14,Şebnem Ferah,Artık Kısa Cümleler Kuruyorum,Kalbim,-,eK_V3j-0e-s
15,Şebnem Ferah,Artık Kısa Cümleler Kuruyorum,Herkes Bilsin İstedim,"""Herkes Bilsin İstedim""

Herkes bilsin istedim, nasıl sevdim ben
Herkes duysun istedim, neye direndim ben

Neler gördü gözlerim
Neler duydum, dinledim
Aşk böyleyse sevmeyin
Sevmeyin beni
Of, beni, mmh

Zaman dursun istedim
Bugün pes ettim ben
Her şey sussun istedim
Masal olayım ben

Neler gördü gözlerim
Neler duydum, dinledim
Aşk böyleyse sevmeyin
Sevmeyin beni
Of, beni, mmh

Herkes bilsin istedim, nasıl sevdim ben
Herkes duysun istedim, neye direndim ben

Neler gördü gözlerim
Neler duydum, dinledim
Aşk böyleyse sevmeyin
Sevmeyin beni
Of, beni, mmh

Neler gördü gözlerim
Neler duydum, dinledim
Aşk böyleyse sevmeyin
Sevmeyin beni
Of, beni, beni",SPK-xunqico
16,Şebnem Ferah,Artık Kısa Cümleler Kuruyorum,Oyunun Sonu,"""Oyunun Sonu""

Hangi acılar, hangi anılar
Eskimez zamanla?
Hangi kalp temiz, hangi gerçek iz
Aşınmaz yağmurda?

Her şeyi gören, bilenler
Anlatın, neden dönmezler gidenler?

Giden gelmiyor, geri dönmüyor
Oyunun sonunda, sonunda
Giden gelmiyor, hayat denilen şey
Bir ipin ucunda, ucunda

Hangi büyük aşk, hangi büyük kin
Yok olmaz zamanla?
Hangi yanardağ, hangi fırtına
Durulmaz dünyada?

Her şeyi gören, bilenler
Anlatın, neden dönmezler gidenler?

Giden gelmiyor, geri dönmüyor
Oyunun sonunda, sonunda
Giden gelmiyor, hayat denilen şey
Bir ipin ucunda, ucunda

Giden gelmiyor, geri dönmüyor
Oyunun sonunda, sonunda
Giden gelmiyor, hayat denilen şey
Bir ipin ucunda, ucunda

Giden gelmiyor, geri dönmüyor
Oyunun sonunda, sonunda
Giden gelmiyor, hayat denilen şey
Bir ipin ucunda, ucunda",8rO9s5L55Ww
17,Şebnem Ferah,Artık Kısa Cümleler Kuruyorum,Üvey,"""Üvey""

Biraz sarhoş, biraz aşığım ben
Uyurken siz, umudu ararım
Yok, ellerimde aşkım
Yok, ne üzgün ne kırgınım

Üvey çocuk olmadım, üvey anne olmadım
Üvey insanlık mı alın yazım?
Aşkına doyamadım, karardı aydınlığım
Üvey aşklar mıymış alın yazım?

Acıyı da derdi de severim ben
Yanımdan geçer, beni büyütürler
Yok, yok olmaz inancım
Yok, ne üzgün ne kırgınım

Üvey çocuk olmadım, üvey anne olmadım
Üvey insanlık mı alın yazım?
Aşkına doyamadım, karardı aydınlığım
Üvey aşklar mıymış alın yazım?

Üvey çocuk olmadım, üvey anne olmadım
Üvey insanlık mı alın yazım?
Aşkına doyamadım, karardı aydınlığım
Üvey aşklar mıymış alın yazım?",m51CO8-xW30
18,Şebnem Ferah,Artık Kısa Cümleler Kuruyorum,Nefessiz Kaldım,"""Nefessiz Kaldım""

Eğer beni duyuyorsan uyan
Hiç geçmiyorsam aklından
Uyu, uyu, uyu, hiç korkma
Utanır, isteyemem
Bilirsin, yardım dilemem
Yalnız, sesimi duy bazen

Bir resmime bakıyorsan, gülen
Islanmıyorsa gözlerin, iyi
İyi, iyi, iyi, hiç utanma
Yalan aşklara düştüm
Yeni dostlar arar oldum
Uyuyup huzur buldum bazen, of

Yerimi hiç kimse bilmesin
Kalbim biraz dinlensin, of, inan

Nefessiz kaldım duvarlar içinde
Ellerim bağlı zincirlerle, hava ner'de?
Nefessiz kaldım aşkımın içinde
İçimden çekip aldığın çocuk ner'de?
Nefessiz kaldım, nefessiz kaldım

Bir resmime bakıyorsan, gülen
Islanmıyorsa gözlerin, iyi
İyi, iyi, iyi, hiç utanma
Yalan aşklara düştüm
Yeni dostlar arar oldum
Uyuyup huzur buldum bazen, of

Yerimi hiç kimse bilmesin
Kalbim biraz dinlensin, of, inan

Nefessiz kaldım duvarlar içinde
Ellerim bağlı zincirlerle, hava ner'de?
Nefessiz kaldım aşkımın içinde
İçimden çekip aldığın çocuk ner'de?
Nefessiz kaldım, nefessiz kaldım

Nefessiz kaldım duvarlar içinde
Ellerim bağlı zincirlerle, hava ner'de?
Nefessiz kaldım aşkımın içinde
İçimden çekip aldığın çocuk ner'de?
Nefessiz kaldım, nefessiz kaldım
Nefessiz kaldım, nefessiz kaldım",vQn6CEs4z3o
19,Şebnem Ferah,Artık Kısa Cümleler Kuruyorum,Yorgun,"""Yorgun""

Yorgun geldim bu dünyaya
Kimse bilmez
Sonsuzluk benim olsa
Fayda etmez
Öyle bir derde düştüm ki
Hiç sorma
Katlanmak zor, gücün yoksa

Çaresizlik gözlerinde, can verirken ellerimde
Sustun artık sen, söylerim ben senin yerine

İşte ben böyle öldüm, gittim, kendimi gömdüm
Sonra toprağa sordum, ""Dünya böyle değildi""
Toprak dedi, ""Sen kördün""

İşte ben böyle öldüm, gittim, kendimi gömdüm
Sonra toprağa sordum, ""Dünya böyle değildi""
Toprak dedi, ""Sen kördün""

""Dünya böyle değildi""
Toprak dedi, ""Sen kördün"", ah

Yorgun geldim bu dünyaya
Kimse bilmez
Sonsuzluk benim olsa
Fayda etmez
Öyle bir derde düştüm ki
Hiç sorma
Katlanmak zor, gücün yoksa

Çaresizlik gözlerinde, can verirken ellerimde
Sustun artık sen, söylerim ben senin yerine

İşte ben böyle öldüm, gittim, kendimi gömdüm
Sonra toprağa sordum, ""Dünya böyle değildi""
Toprak dedi, ""Sen kördün""

İşte ben böyle öldüm, gittim, kendimi gömdüm
Sonra toprağa sordum, ""Dünya böyle değildi""
Toprak dedi, ""Sen kördün"", ah",-vzWOk9qVxk
20,Şebnem Ferah,Artık Kısa Cümleler Kuruyorum,Artık Kısa Cümleler Kuruyorum,"""Artık Kısa Cümleler Kuruyorum""

Sizi bilmem ama ben karar verdim
Su gibi duru olup hep akmaya
Başka sular tanıyıp çoğalmaya
Dalgalanmaya, taşmaya

Son günlerde çok düşünür oldum
Zor zamanları çabuk atlatır oldum

Yalnız mıyım insanlar içinde?
Arkadaşlarım, aşklarım içimde
Yara aldım bundan iki yıl önce
Hiç susmadım, şarkı söyledim günlerce

Artık kısa cümleler kuruyorum
Sevdiklerim, sevmediklerim yanımda
Kabullendim her şeyi olduğu gibi
Yola çıktım, yarınlara

Son günlerde çok düşünür oldum
Zor zamanları çabuk atlatır oldum

Bakıyorum aynaya her gece
İçim rahat, biraz yorgunum sadece
Hayatıma giren herkese
Yaşanmış her şeye

Teşekkürler, büyüyorum sizinle",8H1_z8jeGb8
