No,Sanatçı,Albüm,Şarkı Adı,Şarkı Sözleri,YouTube
21,Şebnem Ferah,Perdeler,Sigara,"Aslında ben de isterim, emeklemeden koşmayı
Güzel elbiselerle, makyaj yapıp dolaşmayı
Aslında ben de isterim, düşünmeden konuşmayı
Küçük bir oyun içinde önemli kişi olmayı

Aklımdan geçen sözler
Kalbimden gelen sesler
Hepsi bir orman oldu
Bir kibritle yok oldu

Ben sigara dumanının altında
Yana yana en sonunda kül oldum
Sen kibritin hiç yanmayan ucunda
Birinin hayatından geçmiş oldun

Ben sigara dumanının altında
Yana yana en sonunda kül oldum
Sen kibritin hiç yanmayan ucunda
Birinin hayatından geçmiş oldun

Aslında ben de isterim, emeklemeden koşmayı
Güzel elbiselerle, makyaj yapıp dolaşmayı
Aslında ben de isterim, düşünmeden konuşmayı
Küçük bir oyun içinde önemli kişi olmayı

İyi dostlar biriktirdim
Hepsi ailem oldu
Küçük bir aşk yetiştirdim
Düzene yenik düştü

Ben sigara dumanının altında
Yana yana en sonunda kül oldum
Sen kibritin hiç yanmayan ucunda
Birinin hayatından geçmiş oldun

Ben sigara dumanının altında
Yana yana en sonunda kül oldum
Sen kibritin hiç yanmayan ucunda
Birinin hayatından geçmiş oldun",nvo-M2IzBGU
22,Şebnem Ferah,Perdeler,Aşk,"""Aşk""

Toprağın altında
Sarmaş dolaş köklerle
Bağlanmışız birbirimize
Cennet gibi bir yerlerde
Kader varsa benimki bu olsun
Aşk masalsa gerçek olsun

Aşk
Bağlanmış kökler gibi
Hayat veren toprak gibi
Tüm anneler gibi güçlü olsun
Camdan sızan güneş gibi
Gökte yıldızlar gibi
Dolu hayatlar gibi sonsuz olsun
Sonsuz olsun

Toprağın üstünde
Yan yana duran çiçeklerde
Sarılmışız birbirimize
Cennet gibi bir yerlerde
Kader varsa benimki bu olsun
Aşk masalsa gerçek olsun

Aşk
Bağlanmış kökler gibi
Hayat veren toprak gibi
Tüm anneler gibi güçlü olsun
Camdan sızan güneş gibi
Gökte yıldızlar gibi
Dolu hayatlar gibi sonsuz olsun
Sonsuz olsun

Toprağın altında
Toprağın üstünde
Hatıralarımda
Rüyalarda, ah

Bağlanmış kökler gibi
Hayat veren toprak gibi
Tüm anneler gibi güçlü olsun
Camdan sızan güneş gibi
Gökte yıldızlar gibi
Dolu hayatlar gibi sonsuz olsun

Bağlanmış kökler gibi
Hayat veren toprak gibi
Tüm anneler gibi güçlü olsun
Camdan sızan güneş gibi
Gökte yıldızlar gibi
Dolu hayatlar gibi sonsuz olsun
Sonsuz olsun",xm7uoZcNKdo
23,Şebnem Ferah,Perdeler,Sil Baştan,"""Sil Baştan""

Gücün var mı sevgilim?
Derin sularda inci tanesi aramaya
Cesaretin kaldıysa
Hâlâ benle aşktan konuşmaya
Söyle canım sevgilim
Hayat bize oyun oynuyor olabilir mi?
Yorgun gibi bir hâlin var
Duyguların karışık olabilir mi?

Sil baştan başlamak gerek bazen
Hayatı sıfırlamak
Sil baştan sevmek gerek bazen
Her şeyi, unutmak
Sil baştan başlamak gerek bazen (Bazen)
Hayatı sıfırlamak (Hayatı sıfırlamak)
Sil baştan sevmek gerek bazen
Her şeyi, unutmak

Sanki bugün son günmüş gibi
Dolu dolu yaşamak istiyorum ben
Her ne çıkarsa yoluma
Selam verip yürümek istiyorum ben

Sil baştan başlamak gerek bazen
Hayatı sıfırlamak
Sil baştan sevmek gerek bazen
Her şeyi, unutmak
Sil baştan başlamak gerek bazen (Bazen)
Hayatı sıfırlamak (Hayatı sıfırlamak)
Sil baştan sevmek gerek bazen
Her şeyi, unutmak

Sil baştan başlamak gerek bazen
Hayatı sıfırlamak
Sil baştan sevmek gerek bazen
Her şeyi, unutmak
Sil baştan başlamak gerek bazen (Bazen)
Hayatı sıfırlamak (Hayatı sıfırlamak)
Sil baştan sevmek gerek bazen
Her şeyi, unutmak

Unutmak, unutmak, unutmak, unutmak, unutmak, unutmak",oAg1_yIgpC4
24,Şebnem Ferah,Perdeler,Nereye Kadar,"""Nereye Kadar""

Hiç olmaz sandığım
Her şey birden bire oldu
Daha ""Ne oluyor?"" derken
Beni de hayat her yerimden vurdu
Hiç susmaz sandığım
Kalpler birden bire sustu
Daha ""Ne oluyor?"" derken
Beni de hayat bir kez daha vurdu

Günlerdir uykum yok
Hayat buysa artık gücüm yok

Daha kaç kez vurulmam
Nereye kadar güçlü olmam
Daha ne kadar yaralanmam gerek hayatta?
Daha ne kadar gücüm var?
Kaybettiğim şeyler var
Daha ne kadar borcum var benim hayata?

Çok sağlam sandığım
Her şey birden bire çöktü
Daha ""Ne oluyor?"" derken
Beni de hayat bir kez daha vurdu
Günlerdir uykum yok
Hayat buysa artık gücüm yok

Daha kaç kez vurulmam
Nereye kadar güçlü olmam
Daha ne kadar yaralanmam gerek hayatta?
Daha ne kadar gücüm var?
Kaybettiğim şeyler var
Daha ne kadar borcum var benim hayata?

Günlerdir uykum yok
Hayat buysa artık gücüm yok

Daha kaç kez vurulmam
Nereye kadar güçlü olmam
Daha ne kadar yaralanmam gerek hayatta?
Daha ne kadar gücüm var?
Kaybettiğim şeyler var
Daha ne kadar borcum var benim hayata?",59nCi7b-4Wk
25,Şebnem Ferah,Perdeler,Perdeler,"""Perdeler""

Bir yanımda dopdolu yaşanmış sayfalar
Bir yanımda üst üste, okunmamış kitaplar
Dünüm, yarınım hep bur'da, küçücük adamda
Susadım, yoruldum ama aklım hayatta

Bir yanda yorgun düşmüş, yaşlanmış insanlar
Bir yanımda ümitle, aşkla uyananlar
Dünyanın her hali bur'da, dağınık odamda
Çok düştüm, yaralandım ama sarıldım hayata

Ardımda büyük büyük, kocaman ağır yükler
Her yerimden çektiler, beni beklettiler
Dinlendim, su içtim, aktı dudaklarımdan
Her gün güneş doğar, yeter ki açık olsun perdeler

Bir yanımda durmadan çalışan saatler
Bir yanda ağır ağır dipten gelen sesler
Düşündüm, buldum sandığım yüzyıllık gerçekler
Hepsiyle giyindim durdum, bazen büyük geldiler

Bir yanda hiç susmadan konuşan dudaklar
Bir yanda küsüp susmuş, sessiz akıllar
Dibe vurduysak ne olmuş? Elbet çıkarız
Bir gün var, bir gün yokuz, kiralıkmış hayatlar

Ardımda büyük büyük, kocaman ağır yükler
Her yerimden çektiler, beni beklettiler
Dinlendim, su içtim, aktı dudaklarımdan
Her gün güneş doğar, yeter ki açık olsun perdeler

Ardımda büyük büyük, kocaman ağır yükler
Her yerimden çektiler, beni beklettiler
Dinlendim, su içtim, aktı dudaklarımdan
Her gün güneş doğar, yeter ki açık olsun perdeler",6myp1CKB-mY
26,Şebnem Ferah,Perdeler,Günaydın Sevgilim,"""Günaydın Sevgilim""

Günaydın sevgilim

Keşke hayat her gün böyle
Seninle dolu, aşkınla dolu olsa
Keşke hayat her gün böyle
Seninle başlasa, sürpriz dolu olsa
Hep böyle cömert, kibar davransa
Bizi üzmeden baş başa bıraksa

Günaydın sevgilim
Ne güzel bir gün, değil mi?
Kahvaltıdan önce biraz daha sevişelim mi?
Günaydın sevgilim
Ne güzel bir gün, değil mi?
Her şeyi bir yana bırakıp bütün gün film izleyelim mi?

Keşke güneş hergün böyle
Sımsıcak, pırıl pırıl olsa
Keşke herkes her gün böyle
Kıpır kıpır, hayat dolu olsa
Her şey yolunda gitse durmasa
Üzüntüler upuzun bir tatile çıksa

Günaydın sevgilim
Ne güzel bir gün, değil mi?
Kahvaltıdan önce biraz daha sevişelim mi?
Günaydın sevgilim
Ne güzel bir gün, değil mi?
Her şeyi bir yana bırakıp bütün gün film izleyelim mi?

Günaydın sevgilim
Ne güzel bir gün, değil mi?
Kahvaltıdan önce biraz daha sevişelim mi?
Günaydın sevgilim
Ne güzel bir gün, değil mi?
Her şeyi bir yana bırakıp bütün gün film izleyelim mi?

Günaydın sevgilim
Ne güzel bir gün, değil mi?
Kahvaltıdan önce biraz daha sevişelim mi?
Günaydın sevgilim
Ne güzel bir gün, değil mi?
Her şeyi bir yana bırakıp bütün gün film izleyelim mi?

Günaydın sevgilim",EkIceUIdyPc
27,Şebnem Ferah,Perdeler,Dünya,"""Dünya""

Döne döne, durmadan
Sen de bir garip oldun
Sarhoş musun dünya?

Şişede şarap gibi
Yorgun bir kadın gibi
Yalnız mısın dünya?

Sesimi bir duy diye
Beklemek zor geliyor
Yüzüme bir gül diye
Düşünmek zor geliyor

Gerçek misin, yalan mısın?
Masal mısın dünya?
Barışır mısın benimle?
Gerçek misin, yalan mısın dünya?

Döne döne, durmadan
Sen de bir garip oldun
Sarhoş musun dünya?

Sesimi bir duy diye
Beklemek zor geliyor
Yüzüme bir gül diye
Düşünmek zor geliyor

Gerçek misin, yalan mısın?
Masal mısın dünya?
Barışır mısın benimle?
Gerçek misin, yalan mısın dünya?

Bazen içime bıçak gibi saplanıp yara olduysan da
Günler boyunca kanayıp acıttıysan da
Daha çocukken bile duvar gibi sert olduysan da
Sana hiç küsmedim, hiç küsmedim dünya

Gerçek misin, yalan mısın?
Masal mısın dünya?
Barışır mısın benimle?
Gerçek misin, yalan mısın dünya?",axBWaijUx9k
28,Şebnem Ferah,Perdeler,Saatim Çalmadan,"""Saatim Çalmadan""

Saatim çalmadan uyandım bugün
Dünkü fırtına çoktan dinmiş
Yağmur yağmış, her yer yıkanmış
Vakit kaybetmeden yazmaya başladım

Bir ağacım, ormanda
Dallı budaklı
Baharı bekler dururum
Gövdemde adın yazılı

Dudağımda bir damlan denize döndü
Şiirler yazdım sana, okur musun? Söyle
Yüreğimde her şeyin, koruyup sevdim
Uzanıp ellerimden tutar mısın? Söyle

Saatim çalmadan uyandım bugün
Dünkü fırtına çoktan dinmiş
Yağmur yağmış, her yer yıkanmış
Vakit kaybetmeden yazmaya başladım

Bir ağacım, ormanda
Dallı budaklı
Suyumu bekler dururum
Gövdemde adın yazılı

Dudağımda bir damlan denize döndü
Şiirler yazdım sana, okur musun? Söyle
Yüreğimde her şeyin, koruyup sevdim
Uzanıp ellerimden tutar mısın? Söyle",E7fwlvzJYx0
29,Şebnem Ferah,Perdeler,Korkarak Yaşıyorsan,"""Korkarak Yaşıyorsan""

Öyle bir hayat yaşadım ki
Cenneti de gördüm cehennemi de
Öyle bir aşk yaşadım ki
Tutkuyu da gördüm pes etmeyi de

Bazıları seyrederken hayatı en önden
Kendime bir sahne buldum, oynadım
Öyle bir rol vermişler ki
Okudum, okudum, anlamadım

Kendi kendime konuştum bazen evimde
Hem kızdım hem güldüm halime
Sonra dedim ki, ""Söz ver kendine""

""Denizleri seviyorsan dalgaları da seveceksin
Sevilmek istiyorsan önce sevmeyi bileceksin
Uçmayı seviyorsan düşmeyi de bileceksin
Korkarak yaşıyorsan yalnızca hayatı seyredersin, seyredersin""

Öyle bir hayat yaşadım ki
Son yolculukları erken tanıdım
Öyle çok değerliymiş ki zaman
Hep acele etmem bundan, anladım

Kendi kendime konuştum bazen evimde
Hem kızdım hem güldüm halime
Sonra dedim ki, ""Söz ver kendine""

""Denizleri seviyorsan dalgaları da seveceksin
Sevilmek istiyorsan önce sevmeyi bileceksin
Uçmayı seviyorsan düşmeyi de bileceksin
Korkarak yaşıyorsan yalnızca hayatı seyredersin, seyredersin""",MZxzdHeWEIw
30,Şebnem Ferah,Kelimeler Yetse,İyi-Kötü (Dans Pisti),"""İyi Kötü""

Biriyle fena halde konuşmaya ihtiyacım var
Biriyle fena halde dertleşmeye...
Evimde ne sıcak bir tabak yemeğim var
Ne de televizyonun sesinden başka ses

Ama içimde bi yerlerde sabır taşı gizli sanki
Doğduğum günden bugüne or'da duruyor
Sessiz bir kaya düşün, deniz kıyısında yalnız
Dalgalara göğüs gerip soğuktan üşüyor

Ne ahlak ne de sevgi gökten dünyaya indi
İnsanlık istedi, keşfetti hepsini
Dün doğmuş bir bebeğe bile girebilen mikrop misali
İçimizde hem kötü var hem iyi

Hangisi daha güçlü diye beklemektense
Heyecanla attım kendimi dans pistine

Ayrı ayrı hepsiyle dans edecektim
Biraz sohbet ederek çözmeyi deneyecektim
Neden böyle olmuşuz, nerelerde kaybolmuşuz
Aklımdaki soruların hepsini soracaktım

""Senin ne haddine böyle şeylerle uğraşmak?""
Diye soran hazırcı tembel sen misin?
Böyle yaşlanmak olmaz; seninki eskimek, çökmek
Ruhu küskün, bomboş bir bedensin

Kelimeler yetse daha neler neler buldum
Elimle koymuş gibi, huzurluyum
Geniş ve loş bir yer istersen sen de bir uğra
Doğru, yanlış, iyi, kötü herkes or'da

Hangisi daha güçlü diye beklemektense
Heyecanla attım kendimi dans pistine

Ayrı ayrı hepsiyle dans edecektim
Biraz sohbet ederek çözmeyi deneyecektim
Neden böyle olmuşuz, nerelerde kaybolmuşuz
Aklımdaki soruların hepsini soracaktım

Ayrı ayrı hepsiyle dans edecektim
Biraz sohbet ederek çözmeyi deneyecektim
Neden böyle olmuşuz, nerelerde kaybolmuşuz
Aklımdaki soruların hepsini soracaktım",LDd-k6a4WjU
31,Şebnem Ferah,Kelimeler Yetse,Babam Oğlum,"""Babam Oğlum""

Bu akşam, sanki hiç ayrılmamışız gibi hissetmek istedim
En sevdiğin kot pantalonumla en sevdiğin lacivert tişörtümü giydim
Güzel bir akşam yemeği hazırladım, beraber aldığımız mumları yaktım
Şarap açtım; bir sana, bir bana, iki kadeh çıkardım

Sevgilim ve dostum; babam, oğlum
Arkadaşım, aşkım; her şeyimdin sen
Çok zaman geçti gitti ikimizden
Özür dilerim, seni üzdüysem
Sadece dinle, hiçbir şey düşünmeden
Şimdi bunlar geldi içimden

Bu akşam seni çok özledim
Bütün şarabı tek başıma içtim
Kırgınlığım bile geçti, kalmadı
Şimdi bunlar geldi içimden

Bu akşam, sanki hiç beni kırmamışsın gibi hissetmek istedim
En son tatilimizi düşündüm, ayrılmadan yirmi gün önce
Dünyanın en güzel şehirlerinden birinde, yürüdük kilometrelerce
İz bıraktık kaldırımlarda, otelde, caddelerde

Sevgilim ve dostum; babam, oğlum
Arkadaşım, aşkım; her şeyimdin sen
Çok zaman geçti gitti ikimizden
Özür dilerim, seni üzdüysem
Sadece dinle, hiçbir şey düşünmeden
Şimdi bunlar geldi içimden

Bu akşam seni çok özledim
Bütün şarabı tek başıma içtim
Kırgınlığım bile geçti, kalmadı
Şimdi bunlar geldi içimden

Bu akşam, sanki hiç aldatmamışsın gibi hissetmek istedim
Uyurken bile özlerdik birbirimizi delicesine
Düşündüm durdum, sordum, anlamadım
Beraber yaptığımız şeyleri andım
Seni son kez özledim ve bu şarkıyı yazdım",MNnMaOqafrM
32,Şebnem Ferah,Kelimeler Yetse,Ben Şarkımı Söylerken,"""Ben Şarkımı Söylerken""

İçimde bir ateş yanıyor
Bedenim dar gelir oldu
Ateşime ister körüklerle gel, ister suyla
İstediğin kadar konuş benimle
İstediğin kadar yalan söyle
Beni ben yapan içimdeki sesleri susturamazsın
İçine girdiğin küçük, kaygan deliği
Yeni ve büyük bir dünya mı sandın?
İstersen bir aynayla yardım edeyim
Ama umursamazsın

Merak etmeden duramıyorum
Geceleri nasıl uyuyorsun?
Beni boş ver, kendine cevap ver
Lütfen bu kez dürüst olur musun?

Ben şarkımı söylerken istersen sesi açarsın
İstersen kısıp bunu da yok sayarsın
Kim bilir; belki gülümser, belki ağlarsın
Yüreğimdeki sesleri susturamazsın

Bir yanım seni hala düşünüyor
Bir yanım sana fena kızgın
Yalnız sen ve ben biliyoruz olanları, unutturamazsın
Sakın nefret ettiğimi düşünme
Bende böyle duygular barındıramazsın
Geçmiş hiç yaşanmamış gibi davransan da baştan yazamazsın

Merak etmeden duramıyorum
Geceleri nasıl uyuyorsun?
Beni boş ver, kendine cevap ver
Lütfen bu kez dürüst olur musun?

Ben şarkımı söylerken istersen sesi açarsın
İstersen kısıp bunu da yok sayarsın
Kim bilir; belki gülümser, belki ağlarsın
Yüreğimdeki sesleri susturamazsın",LylIwh-jkOg
33,Şebnem Ferah,Kelimeler Yetse,Senin Adın Ne,"""Senin Adın Ne""

Bir adım daha gelirsen üstüme
Bütün iyi niyetim anlamsız kalacak
Son bir kez daha atarsan üstüme
Zehirli oklarından, sana dönecek

Sus pus durmam, sakinliğimden
İnsaniyetle çözmeyi sevdiğimden
İlle de savaşmaksa istediğin
Cesaretin var mı, yenik düşecek?

Bildiğin tek yol savaşmaksa
Aklınla kalbin bir türlü buluşmuyorsa

Senin adın ne? Bana ismini söyle
Senin adın ne? Bana ismini söyle
Senin adın ne? Önce ismini söyle
Neden böyle nefret dolusun? Söyle
Senin derdin ne? Önce derdini söyle
Neden böyle nefret dolusun? Söyle

Neden önce adını sordum, biliyor musun?
Biraz kendine dönmen daha iyi olacak
Bir adım daha atmadan önce
Yolun nerde bitiyor, baksan iyi olacak

Çok mu anlamsız geldi, adını sormam?
Kim olduğunu unutmandan olacak
Gördün mü? Hala anlamaya çabalıyorum
İyi niyet suyumdan, kurumuş vadin ıslanacak

Bildiğin tek yol savaşmaksa
Aklınla kalbin bir türlü buluşmuyorsa

Senin adın ne? Bana ismini söyle
Senin adın ne? Bana ismini söyle
Senin adın ne? Önce ismini söyle
Neden böyle nefret dolusun? Söyle
Senin derdin ne? Önce derdini söyle
Neden böyle nefret dolusun? Söyle",r_5nSMj8NM0
34,Şebnem Ferah,Kelimeler Yetse,Gözlerimin Etrafındaki Çizgiler,"""Gözlerimin Etrafındaki Çizgiler""

Gözlerimin etrafındaki çizgiler
Artık belli oluyor
Bütün o çizgiler son bir yılda oldu
Sana, bana, bize ağlarken

Ben Leyla olmuşum, kimin umrunda
Mecnun çoktan gitmişken?
Bu ne garip bir yangındı böyle
Sen söndün, ben yanarken

Peki ben neden hala böyleyim?
Neden hala geçmişteyim?
Belki de ben sana hala...

Aşığım
İşte tam bur'da, karşındayım
Ya şimdi tut elimden
Ya da bir daha söz etme özlemekten

Ben sana hala aşığım
İşte tam bur'da, karşındayım
Ya şimdi tut elimden
Ya da bir daha söz etme özlemekten
Çok, çok, çok karışığım zaten, of

Ruhum iki ucun arasında
Gezinip duruyor
Bugün zaman akmasın, dursun
Ben içinden geçeceğim

Ama neden, neden hala böyleyim?
Neden hala geçmişteyim?
Belki de ben sana hala...

Aşığım
İşte tam bur'da, karşındayım
Ya şimdi tut elimden
Ya da bir daha söz etme özlemekten

Ben sana hala aşığım
İşte tam bur'da, karşındayım
Ya şimdi tut elimden
Ya da bir daha söz etme özlemekten
Çok, çok, çok karışığım zaten, of

Ben sana hala aşığım
İşte tam bur'da, karşındayım
Ya şimdi tut elimden
Ya da bir daha söz etme özlemekten

Ben sana hala aşığım
İşte tam bur'da, karşındayım
Ya şimdi tut elimden
Ya da bir daha söz etme özlemekten
Çok, çok, çok karışığım zaten, of",Wq5HFg6KGFk
35,Şebnem Ferah,Kelimeler Yetse,Çocukken Sahip Olduğum Kırmızı Rugan Ayakkabılar,"""Çocukken Sahip Olduğum Kırmızı Rugan Ayakkabılar""

Öyle şeyler söyleyebilmek isterdim ki, anlatabilmek
Her kelimesi seni çeksin, saklasın bir yerlerde derin, of, derin, of
Öyle şeyler gösterebilmek isterdim ki, resmedebilmek
Rüzgar olmak isterdim ki eseyim etrafında serin of, serin, of

Bu bir rüya, bu bir dua
Ne dersen de, öyle olsun

Rüzgara karşı uçmaya çalıştım
Gözlerim kapalı seni aradım, seni aradım
Körebe oynar gibi; el yordamıyla, sezgiyle

Çocukken sahip olduğum kırmızı rugan ayakkabılar
Onlar da senin gibi, çok tatlıydılar
Ama canımı yakardılar, acıtırdılar

Öyle bir ilaç bulabilmek isterdim ki, kurtulabilmek
Aşka dair bıraktığın korkulardan ama yaram çok derin, of, derin, of
Bıçakla keser gibi kesip atabilmek bütün her şeyi
Kesebiliyorsan ruhumu, dene; duygularımı, yüreğimi, beni, of, beni, of

Bu bir rüya, bu bir dua
Ne dersen de, öyle olsun

Rüzgara karşı uçmaya çalıştım
Gözlerim kapalı seni aradım, seni aradım
Körebe oynar gibi; el yordamıyla, sezgiyle

Çocukken sahip olduğum kırmızı rugan ayakkabılar
Onlar da senin gibi, çok tatlıydılar
Ama canımı yakardılar, acıtırdılar

Rüzgara karşı uçmaya çalıştım
Gözlerim kapalı seni aradım, seni aradım
Körebe oynar gibi; el yordamıyla, sezgiyle

Çocukken sahip olduğum kırmızı rugan ayakkabılar
Onlar da senin gibi, çok tatlıydılar
Ama canımı yakardılar, acıtırdılar",JKEun2L8848
36,Şebnem Ferah,Kelimeler Yetse,Mayın Tarlası,"""Mayın Tarlası""

Mayın tarlasında dolaşıp durmuşum, aşk sanıp da
Herkes arkamdan bağırmış, kimseyi duymamışım
Savaş filmlerinde olur ya, yaralı yaralı devam etmişim
Sonuna kadar aşk ya, yanımdasın sanmışım
Mayın tarlasında yürüyüp durmuşum, aşk sanıp da
Tel örgülerde durmamış, bi' delikten geçmişim
Her şey bana ""Dur"" demiş; kulağım darbe almış, duymamışım
Sonuna kadar aşk ya, sadece inanmışım

(Oh) Koşmuşum, düşmüşüm, kalkmışım
Sevişmek, sevmekten gelir, inanmışım
(Oh) Elimden tuttuğunda öyle bi' güvenmişim ki
Bize bi' şey olmaz sanmışım (Hep sanmışım)

Mayın tarlasında bir adam sevmişim, aşk sanıp da (Aşk sanıp da)
Soyunup korkusuzca, çırılçıplak kalmışım
Aşk filmlerinde olur ya, işte öyle sevmişim sonunda
Bedenim sağlam bulunmuş, yüreğim paramparça

Mayın tarlasında dolaşıp durmuşum, aşk sanıp da
Herkes arkamdan bağırmış, kimseyi duymamışım
Savaş filmlerinde olur ya, yaralı yaralı devam etmişim
Sonuna kadar aşk ya, yanımdasın sanmışım

(Oh) Koşmuşum, düşmüşüm, kalkmışım
Sevişmek, sevmekten gelir, inanmışım
(Oh) Elimden tuttuğunda öyle bi' güvenmişim ki
Bize bi' şey olmaz sanmışım (Hep sanmışım)

Mayın tarlasında bir adam sevmişim, aşk sanıp da
Soyunup korkusuzca, çırılçıplak kalmışım
Aşk filmlerinde olur ya, işte öyle sevmişim sonunda
Bedenim sağlam bulunmuş, yüreğim paramparça
Mayın tarlasında bir adam sevmişim, aşk sanıp da (Aşk sanıp da)
Soyunup korkusuzca, çırılçıplak kalmışım
Aşk filmlerinde olur ya, işte öyle sevmişim sonunda
Bedenim sağlam bulunmuş, yüreğim paramparça",ihqJZgr6Ex4
37,Şebnem Ferah,Kelimeler Yetse,Gözyaşlarımızın Tadı Aynı,-,I5RI-nbQL0A
38,Şebnem Ferah,Kelimeler Yetse,Daha İyi Olmaz Mıydı,"""Daha İyi Olmaz Mıydı""

Ben otuz yaşında, hayatın ortasında
Küçücük şeylerle mutlu olmanın peşinde
Bazen bir şarkıda, bazen de sokaklarda
Hayat bulan genç bir kadınım

Sen erkektin, ben de kadın
Gittiğinde yarım kaldım sandığın
Sana çok bağlıydım
Ama bağımlı değildim

Ardında bıraktığın karmaşayı
Kökünden tamamen kazıdım
Biraz uzun sürdü
Ama adeta yenilendim

Bir kahve içseydik, sarılarak ayrılsaydık
Daha iyi olmaz mıydı?
Kaldığın bir otelden ayrılır gibi gitmeseydin
Daha iyi olmaz mıydı?
Sözü hiç uzatmadan doğruları söyleseydin
Daha kolay olmaz mıydı?
Ayrılmak yeterince zor, bunu zaten biliyordun
Ama hayatımın en kötü günü haline getirmeseydin
Daha iyi olmaz mıydı?

Ben başı önünde, rüzgar ner'den eserse
""Evet"" diyen biri olamam
İçimden gelen sesi dinlerim durmadan
İster çok güçlü ol ister kahraman

Ben istemez miydim, seni andığımda gülümseyebilmeyi?
Sana çok bağlıydım ama bağımlı değildim
Elbette beni sonsuza dek sevmek zorunda değildin
Sahibin değildim, sadece sevgilindim

Bir kahve içseydik, sarılarak ayrılsaydık
Daha iyi olmaz mıydı?
Kaldığın bir otelden ayrılır gibi gitmeseydin
Daha iyi olmaz mıydı?
Sözü hiç uzatmadan doğruları söyleseydin
Daha kolay olmaz mıydı?
Ayrılmak yeterince zor, bunu zaten biliyordun
Ama hayatımın en kötü günü haline getirmeseydin
Daha iyi olmaz mıydı?",nnFhWNjkG_c
39,Şebnem Ferah,Kelimeler Yetse,"Her Şey İnsanlar İçin (Deli Kızım Uyan, 2. Bölüm)","""Her Şey İnsanlar İçin""

Çok parçalandım
Parçalandıkça çoğaldım diye inanmazsam
Nasıl yaşarım, nasıl yaşarım

Bir gün daha bitti...
Ama yarın yeni bir gün diye inanmazsam
Nasıl yaşarım, nasıl yaşarım?

Bu da gelir, geçer diye inanmazsam
Nasıl yaşarım, nasıl yaşarım, nasıl yaşarım?

Her şey insanlar için
Görmek, öğrenmek için
Bazen zor da olsa
Her şey insanlar için
Umut doğurmak için
Hayatla seviştim

Her şey insanlar için
Görmek, öğrenmek için
Bazen zor da olsa
Her şey insanlar için
Umut doğurmak için
Hayatla seviştim

Hiçbir şey boşuna yaşanmamıştır diye inanmazsam
Nasıl yaşarım, nasıl yaşarım?

Uyuyordum
Gözüm açıldı, uyandım diye inanmazsam
Nasıl yaşarım, nasıl yaşarım?

Bu da gelir, geçer diye inanmazsam
Nasıl yaşarım, nasıl yaşarım, nasıl yaşarım?

Her şey insanlar için
Görmek, öğrenmek için
Bazen zor da olsa
Her şey insanlar için
Umut doğurmak için
Hayatla seviştim

Her şey insanlar için
Görmek, öğrenmek için
Bazen zor da olsa
Her şey insanlar için
Umut doğurmak için
Hayatla seviştim",-w-f_BdJCsE
40,Şebnem Ferah,Can Kırıkları,Okyanus,"""Okyanus""

Önümde ağır bir kapı
Ardında okyanus var
Ben zaten suda doğmuşum
Kapıyı açmam gerek

İşte o an biri geliyor
Tutuyor kulağımdan
Gözü anahtar deliğinde
""Bak..."" diyor, ""...sadece burdan""

""Bırak..."" diyorum, ""...o küçücük resmi
Yetmez bize bu küçük esinti
Ner'de törpülendin böyle?""
""Olmaz"" diyor, tutup ayak bileğimi

Şimdi önümde ağır bir kapı
Ardında okyanus var
Bir de bileğimden biri çekiyor
Benimse kapıyı açmam gerek

""Bak..."" diyorum koca dünyaya
""...Bur'dan derhal çıkmak gerek
Bari çekme bileğimden
Benim her şeyi görüp öğrenmem gerek""

Bir ileri bir geri
Her adım bu kapının ardı demek
Sonunda boğulmak olsa da
Benim o sularda yüzmem gerek

Anahtar deliğinden görünen
Bu küçücük manzara
Sana yetiyorsa yetsin
Benim o sularda yüzmem gerek
Yüzmem gerek

Şimdi önümde ağır bir kapı
Ardında okyanus var
Bir de bileğimden biri çekiyor
Benimse kapıyı açmam gerek

""Bırak..."" diyorum, ""...o küçücük resmi
Yetmez bize bu küçük esinti
Ner'de törpülendin böyle?""
""Olmaz"" diyor, tutup ayak bileğimi

Bir ileri bir geri
Her adım bu kapının ardı demek
Sonunda boğulmak olsa da
Benim o sularda yüzmem gerek
Anahtar deliğinden görünen
Bu küçük manzara
Yetiyorsa yetsin
Benim o sularda yüzmem gerek
Yüzmem gerek",EM77kxRpV9A
